lev_dt,sl_lev_va,date
11/24/1969,44.34,1969-11-24
11/25/1969,44.34,1969-11-25
11/26/1969,44.33,1969-11-26
11/27/1969,44.33,1969-11-27
11/28/1969,44.33,1969-11-28
11/29/1969,44.33,1969-11-29
11/30/1969,44.31,1969-11-30
12/01/1969,44.31,1969-12-01
12/02/1969,44.3,1969-12-02
12/03/1969,44.28,1969-12-03
12/04/1969,44.26,1969-12-04
12/05/1969,44.17,1969-12-05
12/06/1969,44.14,1969-12-06
12/07/1969,44.16,1969-12-07
12/08/1969,44.11,1969-12-08
12/09/1969,44.11,1969-12-09
12/10/1969,44.19,1969-12-10
12/11/1969,44.15,1969-12-11
12/12/1969,44.18,1969-12-12
12/13/1969,44.21,1969-12-13
12/14/1969,44.27,1969-12-14
12/15/1969,44.27,1969-12-15
12/16/1969,44.27,1969-12-16
12/17/1969,44.26,1969-12-17
12/18/1969,44.28,1969-12-18
12/19/1969,44.32,1969-12-19
12/20/1969,44.32,1969-12-20
12/21/1969,44.42,1969-12-21
12/22/1969,44.42,1969-12-22
12/23/1969,44.36,1969-12-23
12/24/1969,44.36,1969-12-24
12/25/1969,44.43,1969-12-25
12/26/1969,44.44,1969-12-26
12/27/1969,44.43,1969-12-27
12/28/1969,44.43,1969-12-28
12/29/1969,44.44,1969-12-29
12/30/1969,44.46,1969-12-30
12/31/1969,44.46,1969-12-31
01/01/1970,44.47,1970-01-01
01/02/1970,44.49,1970-01-02
01/03/1970,44.51,1970-01-03
01/04/1970,44.5,1970-01-04
01/05/1970,44.49,1970-01-05
01/06/1970,44.62,1970-01-06
01/07/1970,44.59,1970-01-07
01/08/1970,44.59,1970-01-08
01/09/1970,44.61,1970-01-09
01/10/1970,44.65,1970-01-10
01/11/1970,44.73,1970-01-11
01/12/1970,44.74,1970-01-12
01/13/1970,44.74,1970-01-13
01/14/1970,44.74,1970-01-14
01/15/1970,44.78,1970-01-15
01/16/1970,44.79,1970-01-16
01/17/1970,44.85,1970-01-17
01/18/1970,44.86,1970-01-18
01/19/1970,44.85,1970-01-19
01/20/1970,44.84,1970-01-20
01/21/1970,44.84,1970-01-21
01/22/1970,44.85,1970-01-22
01/23/1970,44.9,1970-01-23
01/24/1970,44.88,1970-01-24
01/25/1970,44.88,1970-01-25
01/26/1970,44.89,1970-01-26
01/27/1970,44.89,1970-01-27
01/28/1970,44.89,1970-01-28
01/29/1970,44.9,1970-01-29
01/30/1970,44.93,1970-01-30
01/31/1970,44.88,1970-01-31
02/01/1970,44.96,1970-02-01
02/02/1970,45.04,1970-02-02
02/03/1970,45.12,1970-02-03
02/04/1970,45.21,1970-02-04
02/05/1970,45.23,1970-02-05
02/06/1970,45.35,1970-02-06
02/07/1970,45.42,1970-02-07
02/08/1970,45.48,1970-02-08
02/09/1970,45.55,1970-02-09
02/10/1970,45.56,1970-02-10
02/11/1970,45.58,1970-02-11
02/12/1970,45.61,1970-02-12
02/13/1970,45.65,1970-02-13
02/14/1970,45.69,1970-02-14
02/15/1970,45.73,1970-02-15
02/16/1970,45.76,1970-02-16
02/17/1970,45.78,1970-02-17
02/18/1970,45.79,1970-02-18
02/19/1970,45.81,1970-02-19
02/20/1970,45.83,1970-02-20
02/21/1970,45.84,1970-02-21
02/22/1970,45.86,1970-02-22
02/23/1970,45.88,1970-02-23
02/24/1970,45.91,1970-02-24
02/25/1970,45.93,1970-02-25
02/26/1970,45.93,1970-02-26
02/27/1970,45.93,1970-02-27
02/28/1970,45.94,1970-02-28
03/01/1970,45.94,1970-03-01
03/02/1970,45.95,1970-03-02
03/03/1970,45.95,1970-03-03
03/04/1970,45.96,1970-03-04
03/05/1970,45.96,1970-03-05
03/06/1970,45.97,1970-03-06
03/07/1970,45.97,1970-03-07
03/08/1970,45.98,1970-03-08
03/09/1970,45.99,1970-03-09
03/10/1970,45.99,1970-03-10
03/11/1970,46.0,1970-03-11
03/12/1970,46.0,1970-03-12
03/13/1970,46.01,1970-03-13
03/14/1970,46.01,1970-03-14
03/15/1970,46.01,1970-03-15
03/16/1970,46.01,1970-03-16
03/17/1970,46.09,1970-03-17
03/18/1970,46.11,1970-03-18
03/19/1970,46.12,1970-03-19
03/20/1970,46.14,1970-03-20
03/21/1970,46.19,1970-03-21
03/22/1970,46.2,1970-03-22
03/23/1970,46.15,1970-03-23
03/24/1970,46.15,1970-03-24
03/25/1970,46.22,1970-03-25
03/26/1970,46.21,1970-03-26
03/27/1970,46.15,1970-03-27
03/28/1970,46.23,1970-03-28
03/29/1970,46.28,1970-03-29
