,clean_text,retweets,favorites
97,"Please RT? BMW S1000RR, S1000R, S1000XR unveiled at the Intermot  ",0.0,0.0
98,going out of with a .,0.0,1.0
99,BMW X5 D or Porsche Cayenne S Diesel? Have X5 D. Need a better drive . Which?,1.0,1.0
100,"neighbours had this year, lasted months apiece. Awful build quality and BMW know full well they're plagued with design faults",0.0,0.0
101,"Carista Bluetooth OBD2 Adapter and App: Diagnose, Customize and Service your Audi, BMW ,…   oth-obd2-adapter-and-app-diagnose-customize-and-service-your-audi-bmw-lexus-mini-scion-toyota-vw-seat-or-skoda-with-dealer-level-technology/ …",0.0,0.0
102,BMW X3 sDrive28i Sports Activity Vehicle sDrive28i Sports Activity Vehicle New dr SUV…   -19255-0/1?ff3=2&toolid=10039&campid=5337386977&item=311766956573&vectorid=229466&lgeo=1&utm_sourcelvr.it&utm_medium=twitter …,0.0,0.0
103,"BMW Z8 Base Convertible -Door Amazing BMW Z8 - Collectors car, Low Miles   -19255-0/1?ff3=2&toolid=10039&campid=5337386977&item=272497411196&vectorid=229466&lgeo=1&utm_sourcelvr.it&utm_medium=twitter …",0.0,0.0
104,I'm in love with BMW cars Ima cop me like of em when I get wealthy enough watch every series,0.0,1.0
105,I will never have another _UK car. Not even if they gave me one free.,0.0,0.0
106,My cousins car was stolen earlier today in the Fresno area please share so we can find it! It's a bmw i light gray,7.0,0.0
107,if they care about there mom or just life y let her drive? She blk with BMW in Detroit cops cld & wldve stop her on tht. https:// tatus/815270113859477504 …,0.0,0.0
108,BMW X1 AWD i-NAV-SIEGES ELECTRIC- CYLINDRES MILLIONS HT VÉHICULE SUR COMMANDE AU CANADA INFOLINE...  ,0.0,0.0
109,WRX STI vs BMW M4 snow tow ⇒ https://,0.0,0.0
110,Bad BMW head gasket!? Can fix for much less than your mechanic! (Gilbert) $1000 Phoenix Craigslist Cars with Blown…  ,0.0,0.0
111,BMW Series Product Trailer ⇒ https://,0.0,0.0
112,BMW X1 i(A8-CUIR-TOIT PANO) MILLIONS HT VÉHICULE SUR COMMANDE AU CANADA INFOLINE : +225 ...  ,1.0,0.0
113,BMW M1 Supercar Barn Find Emerges After Years in Storage   Kf?ocidt …,0.0,0.0
114,"BMW ’s i3 electric car is getting a bigger battery,...  ",0.0,0.0
115,Bmw d e46 facelift . unda-mano/bmw_320d_e46_facelift-3475719.htm?utm_source=Twitter&utm_medium=Twitter&utm_campaign=rsscantabria …,0.0,0.0
